A,TOTAL,PPS_AE,EA12	: 	: 	: 	17439 e	18423 s	: 	: 
A,TOTAL,PPS_AE,EA13	: 	: 	: 	17413 e	18403 s	: 	: 
A,TOTAL,PPS_AE,EA17	: 	: 	: 	: 	18200 s	: 	: 
A,TOTAL,PPS_AE,EA18	: 	: 	: 	: 	18128 s	: 	: 
A,TOTAL,PPS_AE,EE	: 	: 	: 	6531 	6755 	10575 	11783 
A,TOTAL,PPS_AE,EEA28	: 	: 	: 	16021 e	16508 s	: 	: 
A,TOTAL,PPS_AE,EEA30_2007	: 	: 	: 	: 	15900 s	: 	: 
A,TOTAL,PPS_AE,EFTA	: 	: 	: 	19125 u	22820 u	: 	: 
A,TOTAL,PPS_AE,EL	8115 	9564 	12955 	17391 	17036 	14483 	13510 
A,TOTAL,PPS_AE,ES	7459 	9742 	10123 	13940 	17858 	18388 	16998 
A,TOTAL,PPS_AE,EU15	: 	: 	: 	17825 e	17838 s	: 	: 
A,TOTAL,PPS_AE,EU25	: 	: 	: 	15990 e	16442 s	: 	: 
A,TOTAL,PPS_AE,EU27_2007	: 	: 	: 	15225 e	15832 s	: 	: 
A,TOTAL,PPS_AE,EU27_2020	: 	: 	: 	: 	: 	17343 	17260 s
A,TOTAL,PPS_AE,FI	: 	10280 	11884 	16082 	18097 	20928 	: 
A,TOTAL,PPS_AE,FR	9968 	13738 	15310 	17523 	18085 	19484 	19020 e
A,TOTAL,PPS_AE,HR	: 	: 	: 	9478 	9605 	10986 	12153 
A,TOTAL,PPS_AE,HU	: 	: 	: 	6241 	8511 	10319 	14245 
A,TOTAL,PPS_AE,IE	: 	11245 	15604 	20583 	18950 	19552 	: 
A,TOTAL,PPS_AE,IT	9481 	12764 	15897 	17623 	17950 	19171 	17906 
A,TOTAL,PPS_AE,LT	: 	: 	: 	5892 	8668 	10851 	12723 
A,TOTAL,PPS_AE,LU	14978 	23255 	25824 	32794 	28621 	31893 	32755 
A,TOTAL,PPS_AE,LV	: 	: 	: 	5316 	6863 	8883 	10544 
A,TOTAL,PPS_AE,ME	: 	: 	: 	: 	6110 	8854 	8288 
A,TOTAL,PPS_AE,MK	: 	: 	: 	5181 	5454 	5362 	: 
A,TOTAL,PPS_AE,MT	: 	: 	: 	15108 	14576 	16111 	15336 e
A,TOTAL,PPS_AE,NL	10074 	13033 	16850 	19018 	20016 	21692 	22128 
A,TOTAL,PPS_AE,NO	: 	: 	: 	19125 	22820 	25398 	: 
A,TOTAL,PPS_AE,PL	: 	: 	: 	5817 	8801 	10692 	9954 
A,TOTAL,PPS_AE,PT	6133 	8371 	10011 	11674 	13566 	14844 	: 
A,TOTAL,PPS_AE,RO	: 	: 	: 	2866 	5385 	6750 	8766 
A,TOTAL,PPS_AE,RS	: 	: 	: 	: 	: 	7978 	7962 
A,TOTAL,PPS_AE,SE	: 	11995 	14552 	17414 	17436 	19286 	: 
A,TOTAL,PPS_AE,SI	: 	: 	: 	13299 	15273 	15014 	15638 
A,TOTAL,PPS_AE,SK	: 	: 	: 	6517 	8315 	10550 	8706 
A,TOTAL,PPS_AE,TR	: 	: 	: 	5341 	7670 	11381 	10188 
A,TOTAL,PPS_AE,UK	10330 	12654 	17522 	20047 	14779 	15791 	: 
A,TOTAL,PPS_AE,XK	: 	: 	: 	: 	: 	5513 	: 
A,TOTAL,PPS_HH,AT	: 	24322 	26453 	30167 	33219 	34491 	34729 
A,TOTAL,PPS_HH,BE	16912 	22716 	27405 	30048 	31264 	34923 	30906 
A,TOTAL,PPS_HH,BG	: 	: 	: 	7099 	9334 	12517 	13181 
A,TOTAL,PPS_HH,CY	: 	: 	: 	34208 	44641 	35579 	34177 e
A,TOTAL,PPS_HH,CZ	: 	: 	: 	12142 	13161 	15055 	17132 
A,TOTAL,PPS_HH,DE	16815 	20660 	23575 	28501 	28367 	30691 	32116 
A,TOTAL,PPS_HH,DK	: 	19185 	23439 	24062 	28560 	30102 	30284 
A,TOTAL,PPS_HH,EA	: 	: 	: 	28103 e	28481 s	: 	: 
A,TOTAL,PPS_HH,EA12	: 	: 	: 	28130 e	28876 s	: 	: 
A,TOTAL,PPS_HH,EA13	: 	: 	: 	28103 e	28855 s	: 	: 
A,TOTAL,PPS_HH,EA17	: 	: 	: 	: 	28591 s	: 	: 
A,TOTAL,PPS_HH,EA18	: 	: 	: 	: 	28481 s	: 	: 
A,TOTAL,PPS_HH,EE	: 	: 	: 	10848 	10421 	16382 	17683 
A,TOTAL,PPS_HH,EEA28	: 	: 	: 	25902 e	26083 s	: 	: 
A,TOTAL,PPS_HH,EEA30_2007	: 	: 	: 	: 	25174 s	: 	: 
A,TOTAL,PPS_HH,EFTA	: 	: 	: 	29106 u	34578 u	: 	: 
A,TOTAL,PPS_HH,EL	15465 	17701 	23401 	30975 	29974 	24190 	22530 
A,TOTAL,PPS_HH,ES	15388 	19586 	20238 	26028 	30884 	30223 	27683 
A,TOTAL,PPS_HH,EU15	: 	: 	: 	28608 e	27997 s	: 	: 
A,TOTAL,PPS_HH,EU25	: 	: 	: 	25870 e	25996 s	: 	: 
A,TOTAL,PPS_HH,EU27_2007	: 	: 	: 	24667 e	25082 s	: 	: 
A,TOTAL,PPS_HH,EU27_2020	: 	: 	: 	: 	: 	26937 	26540 s
A,TOTAL,PPS_HH,FI	: 	16014 	18211 	24360 	26998 	30792 	: 
A,TOTAL,PPS_HH,FR	16602 	22319 	24597 	27886 	27627 	29667 	28961 e
A,TOTAL,PPS_HH,HR	: 	: 	: 	16840 	17264 	20163 	21902 
